timestamp_s,rate_setpoint,rate,control_output,tracking_error,setpoint_step,source_index
0.0,1.2133419402862227e-05,2.1043959884710536e-07,1.2107998206064381e-05,1.1922979804015122e-05,0.0,0
0.02,-2.8972214598795656e-05,-1.0770508313781036e-05,-2.8787053455386074e-05,-1.8201706285014622e-05,-4.110563400165788e-05,0
0.04,3.5015305247231086e-05,1.3624579864436199e-06,3.4600044044670066e-05,3.3652847260787464e-05,6.398751984602674e-05,0
0.06,1.0242451361233438e-05,4.9610811722660605e-05,1.0702994382758216e-05,-3.936836036142717e-05,-2.4772853885997648e-05,0
0.08,-0.00015676766256581033,-0.00014412596323007285,-0.00015650730905441762,-1.2641699335737489e-05,-0.00016701011392704379,0
0.1,0.0003930229215996739,0.00021204172354878116,0.0003906158804399916,0.00018098119805089272,0.0005497905841654842,0
0.12,-0.0005037586330098615,0.0018226695361003404,-0.0004981027868201693,-0.0023264281691102017,-0.0008967815546095354,0
0.14,-5.9944055623788054e-05,0.004054157030345128,-6.66385428137828e-05,-0.004114101085968916,0.00044381457738607347,0
0.16,0.0020152610039989283,0.006151496639457062,0.0020128739890908675,-0.004136235635458134,0.0020752050596227166,0
0.18,-0.0053158225832985895,0.007553301263693994,-0.0052846726722348535,-0.012869123846992583,-0.007331083587297518,0
0.2,0.007199654847280426,0.01064022239411369,0.007122853215274193,-0.0034405675468332647,0.012515477430579016,0
0.22,0.07469862566432484,0.01748023390084294,0.07479517260044616,0.057218391763481896,0.06749897081704441,0
0.24,0.16199538304911937,0.026142547179141995,0.16201229938007383,0.13585283586997737,0.08729675738479453,0
0.26,0.23993728504449324,0.03445077080638379,0.2395361432622778,0.20548651423810946,0.07794190199537387,0
0.28,0.3195746985952823,0.04074562227051069,0.3206145135109927,0.2788290763247716,0.07963741355078907,0
0.3,0.40019047468969626,0.051700814855530006,0.39880766828673475,0.34848965983416624,0.08061577609441395,0
0.32,0.4801099251229688,0.074727661891867,0.465099052051509,0.4053822632311018,0.07991945043327253,0
0.34,0.5600220575153612,0.10244802104658371,0.5276085771847572,0.4575740364687775,0.07991213239239237,0
0.36,0.6390229839054143,0.1282419590520859,0.5913364614658863,0.5107810248533284,0.07900092639005318,0
0.38,0.7227075273259245,0.15321207224721245,0.6580188170887447,0.569495455078712,0.08368454342051013,0
0.4,0.7962127000395766,0.18100850448419445,0.7171946911140141,0.6152041955553821,0.07350517271365209,0
